participant_id,session_id,event_order_final,event_type,event_time_final,event_source_final,raw_snirf_present,inserted_from_psychopy,repair_confidence,block,trial_idx_in_block,question_id,event_code_raw,event_label_raw,notes,global_analysis_excluded,global_exclusion_reason
PID001,2025-11-06_008,1,block_start,361.045145,snirf_raw,True,False,high,A1,-1,,91,91,,False,
PID001,2025-11-06_008,2,question_start,365.152219,snirf_raw,True,False,high,A1,1,2022.0_CH_51,11,11,,False,
PID001,2025-11-06_008,3,answer,515.945716,snirf_raw,True,False,high,A1,1,2022.0_CH_51,21,21,,False,
PID001,2025-11-06_008,4,question_start,519.651135,snirf_raw,True,False,high,A1,2,2022.0_CH_71,11,11,,False,
PID001,2025-11-06_008,5,answer,643.958548,snirf_raw,True,False,high,A1,2,2022.0_CH_71,21,21,,False,
PID001,2025-11-06_008,6,question_start,648.432349,snirf_raw,True,False,high,A1,3,2022.0_CH_47,11,11,,False,
PID001,2025-11-06_008,7,answer,825.163337,snirf_raw,True,False,high,A1,3,2022.0_CH_47,23,23,,False,
PID001,2025-11-06_008,8,block_end,825.671172,snirf_raw,True,False,high,A1,-1,,92,92,,False,
PID001,2025-11-06_008,9,block_start,828.520244,snirf_raw,True,False,high,A2,-1,,91,91,,False,
PID001,2025-11-06_008,10,question_start,832.580281,snirf_raw,True,False,high,A2,1,2019.0_CH_65,11,11,,False,
PID001,2025-11-06_008,11,answer,934.179038,snirf_raw,True,False,high,A2,1,2019.0_CH_65,23,23,,False,
PID001,2025-11-06_008,12,question_start,939.075431,snirf_raw,True,False,high,A2,2,2020.0_LC_31,11,11,,False,
PID001,2025-11-06_008,13,answer,1065.741703,snirf_raw,True,False,high,A2,2,2020.0_LC_31,23,23,,False,
PID001,2025-11-06_008,14,question_start,1070.17199,snirf_raw,True,False,high,A2,3,2020.0_CH_77,11,11,,False,
PID001,2025-11-06_008,15,answer,1168.242417,snirf_raw,True,False,high,A2,3,2020.0_CH_77,24,24,,False,
PID001,2025-11-06_008,16,block_end,1248.535711,snirf_raw,True,False,high,A2,-1,,92,92,,False,
PID001,2025-11-06_008,17,block_start,1251.553755,snirf_raw,True,False,high,A3,-1,,91,91,,False,
PID001,2025-11-06_008,18,question_start,1256.00103,snirf_raw,True,False,high,A3,1,2021.0_CH_51,11,11,,False,
PID001,2025-11-06_008,19,answer,1306.785933,snirf_raw,True,False,high,A3,1,2021.0_CH_51,22,22,,False,
PID001,2025-11-06_008,20,question_start,1311.721529,snirf_raw,True,False,high,A3,2,2021.0_CH_57,11,11,,False,
