question_id,condition,n_participants,mean_centered_score,sd_centered_score,mean_raw_back_roi,rank_overall,rank_within_condition
2018_CH_77,Concrete,36,7.567727949477122e-08,2.241751377191179e-07,1.9681137875834714e-08,1,1.0
2019_CH_56,Abstract,36,7.231664137659747e-08,2.841668500542193e-07,1.6320499757660982e-08,2,1.0
2020_CH_59,Concrete,36,6.586129504529189e-08,2.3605888412858766e-07,9.86515342635539e-09,3,2.0
2021_CH_65,Abstract,36,4.917221091467389e-08,2.934347133856159e-07,-6.823930704262608e-09,4,2.0
2021_CH_57,Abstract,36,3.976293990853815e-08,2.1668237008409282e-07,-1.623320171039835e-08,5,3.0
2021_CH_51,Abstract,36,3.4747852495400004e-08,2.3149937811976415e-07,-2.1248289123536502e-08,6,4.0
2022_CH_51,Abstract,36,3.3813851775517085e-08,2.616445708768607e-07,-2.2182289843419418e-08,7,5.0
2022_CH_60,Abstract,36,2.8729380003907264e-08,2.0989386050568379e-07,-2.726676161502924e-08,8,6.0
2020_CH_77,Abstract,35,2.736167362031528e-08,2.8099283253569474e-07,-3.05212133851756e-08,9,7.0
2020_CH_76,Abstract,36,1.9379735844855683e-08,1.905270431387618e-07,-3.661640577408083e-08,10,8.0
2019_CH_65,Abstract,36,1.6606614724938826e-08,2.8282394029120647e-07,-3.938952689399768e-08,11,9.0
2020_CH_78,Concrete,35,1.6239099404925675e-08,2.4378538898132895e-07,-4.1643787600565207e-08,12,3.0
2017_CH_68,Concrete,36,1.6046533884942295e-08,2.4965892436569953e-07,-3.9949607733994204e-08,13,4.0
2017_CH_69,Concrete,36,1.442699621749963e-08,2.465903655962478e-07,-4.156914540143687e-08,14,5.0
2020_CH_84,Concrete,35,7.798090335598866e-09,2.153146904610788e-07,-4.745942799121579e-08,15,6.0
2022_CH_47,Abstract,36,-6.66664146010955e-10,2.660795990006088e-07,-5.6662805764947444e-08,16,10.0
2020_CH_82,Concrete,36,-1.4004754661957879e-09,2.0386235624727403e-07,-5.7396617085132285e-08,17,7.0
2020_LC_31,Abstract,36,-2.519780962882679e-09,2.3362845895803206e-07,-5.851592258181918e-08,18,11.0
2017_CH_47,Concrete,36,-2.6774638565476246e-09,2.0214954769958025e-07,-5.8673605475484125e-08,19,8.0
2021_CH_76,Concrete,36,-5.251216173300327e-09,2.3584001059049415e-07,-6.124735779223684e-08,20,9.0
2021_CH_46,Concrete,36,-6.6913127415167795e-09,2.2927882544390874e-07,-6.268745436045329e-08,21,10.0
2020_CH_56,Concrete,36,-2.2460147756057765e-08,3.391830929296941e-07,-7.845628937499426e-08,22,11.0
2018_LC_44,Concrete,36,-2.524371204098344e-08,2.9009989904870444e-07,-8.123985365991993e-08,23,12.0
2017_CH_75,Concrete,36,-2.9278547947233836e-08,2.4860879094484477e-07,-8.527468956617033e-08,24,13.0
2020_CH_70,Concrete,35,-3.967857470828211e-08,2.3904049983359483e-07,-9.493609303509677e-08,25,14.0
2022_CH_71,Abstract,36,-4.0750037146040126e-08,2.738227018977221e-07,-9.674617876497663e-08,26,12.0
2021_CH_83,Abstract,36,-5.946594674907671e-08,2.2561069166384784e-07,-1.1546208836801322e-07,27,13.0
2021_LC_26,Concrete,35,-6.023039980253936e-08,2.438667887674011e-07,-1.1811328680803024e-07,28,15.0
2021_CH_86,Abstract,36,-1.1070547977242348e-07,2.7872957144375594e-07,-1.6670162139135996e-07,29,14.0
2019_CH_64,Abstract,36,-1.1226793886618171e-07,2.9980552136406793e-07,-1.682640804851182e-07,30,15.0
