question_id,question_year,question_field,question_number,question_type,correct_answer,enem_correctness,total_word_count,sentence_count,sentence_length,n_exposed,n_valid_answers,n_correct,sample_accuracy,difficulty_gap,mean_rt_text_to_answer,median_rt_text_to_answer,std_rt_text_to_answer,mean_sec_per_word,mean_sec_per_sentence,notes
2017_CH_47,2017,CH,47,Concrete,D,0.527917465166208,62.0,2.0,31.0,36,36,35,0.9722222222222222,0.44430475705601424,68.79409905555556,58.996070499999945,34.82619675931918,1.109582242831541,34.39704952777778,
2017_CH_68,2017,CH,68,Concrete,A,0.2069303968327291,49.0,1.0,49.0,36,36,9,0.25,0.0430696031672709,93.19046200000005,80.08641950000003,46.3108563015912,1.9018461632653068,93.19046200000005,
2017_CH_69,2017,CH,69,Concrete,E,0.283977091362474,62.0,4.0,15.5,36,36,14,0.3888888888888889,0.10491179752641488,87.36139855555558,85.83537650000017,33.68797340111355,1.4090548154121865,21.840349638888895,
2017_CH_75,2017,CH,75,Concrete,D,0.1964736904113095,109.0,4.0,27.25,36,36,15,0.4166666666666667,0.2201929762553572,92.6751208888889,91.42350250000015,32.94549091100967,0.8502304668705404,23.168780222222225,
2018_CH_77,2018,CH,77,Concrete,D,0.2103828048416349,50.0,1.0,50.0,36,36,4,0.1111111111111111,-0.0992716937305238,78.54715049999997,70.10178449999978,35.19809817625671,1.5709430099999995,78.54715049999997,
2018_LC_44,2018,LC,44,Concrete,D,0.2951478999067735,132.0,7.0,18.86,36,36,19,0.5277777777777778,0.2326298778710043,96.60013169444447,89.97606900000005,42.5323133207826,0.7318191795033672,13.800018813492066,
2019_CH_56,2019,CH,56,Abstract,D,0.3926106536218327,72.0,2.0,36.0,36,36,21,0.5833333333333334,0.1907226797115007,101.9245594722222,100.510358,37.130135425179496,1.415618881558642,50.9622797361111,
2019_CH_64,2019,CH,64,Abstract,C,0.604244682645566,107.0,11.0,9.73,36,36,29,0.8055555555555556,0.2013108729099896,71.28913636111116,68.86379699999999,23.502965519506123,0.6662536108515064,6.480830578282832,
2019_CH_65,2019,CH,65,Abstract,A,0.3433019991514724,88.0,3.0,29.33,36,36,28,0.7777777777777778,0.4344757786263054,81.16331586111106,70.26019599999995,44.156272258403014,0.9223104075126256,27.05443862037036,
2020_CH_56,2020,CH,56,Concrete,D,0.4830001778034939,29.0,2.0,14.5,36,36,27,0.75,0.2669998221965061,58.415056055555546,51.32794649999998,29.257163535452058,2.014312277777778,29.207528027777773,
2020_CH_59,2020,CH,59,Concrete,C,0.4582523423350119,68.0,4.0,17.0,36,36,20,0.5555555555555556,0.0973032132205437,92.8543605277778,95.17363650000004,35.08204864612826,1.365505301879085,23.21359013194445,
2020_CH_70,2020,CH,70,Concrete,E,0.244848972506758,69.0,2.0,34.5,35,35,17,0.4857142857142857,0.24086531320752771,101.4503434,94.43033300000002,49.13182375720121,1.4702948318840576,50.7251717,
2020_CH_76,2020,CH,76,Abstract,B,0.315717226144949,78.0,6.0,13.0,36,36,9,0.25,-0.06571722614494901,109.35156269444444,93.94434449999983,57.56611892569369,1.4019431114672363,18.22526044907407,
2020_CH_77,2020,CH,77,Abstract,A,0.2928950929249277,79.0,1.0,79.0,35,35,15,0.42857142857142855,0.13567633564650083,102.81856482857143,102.54725900000017,32.83036512514466,1.3015008206148284,102.81856482857143,
2020_CH_78,2020,CH,78,Concrete,C,0.3834166598860249,28.0,1.0,28.0,35,35,18,0.5142857142857142,0.13086905439968932,70.56995102857138,63.5615929999999,36.215904274918486,2.520355393877549,70.56995102857138,
2020_CH_82,2020,CH,82,Concrete,A,0.4406437691929831,105.0,7.0,15.0,36,36,19,0.5277777777777778,0.0871340085847947,81.47947611111111,79.67510149999998,27.103310255058954,0.7759950105820105,11.639925158730158,
2020_CH_84,2020,CH,84,Concrete,E,0.217985576821657,58.0,1.0,58.0,35,35,12,0.34285714285714286,0.12487156603548585,77.62729171428573,68.97211199999992,36.11727928650738,1.3384015812807883,77.62729171428573,
2020_LC_31,2020,LC,31,Abstract,E,0.4478960422147685,127.0,5.0,25.4,36,36,17,0.4722222222222222,0.024326180007453735,96.08424027777777,92.57474600000023,24.596584815963922,0.7565688210848642,19.216848055555552,
