question_id,year,color,question_number,field,question_text_translated,question_itself_translated,question_option_A_translated,question_option_B_translated,question_option_C_translated,question_option_D_translated,question_option_E_translated,type,correctness,answer,total_word_count,sentence_count,sentence_length
2017_CH_47,2017,azul,47,CH,"After the Universal Declaration of Human Rights by the UN in 1948, UNESCO published studies by scientists from around the world that disqualified racist doctrines and demonstrated the unity of the human race. Since then, most European scientists themselves have come to recognize the discriminatory nature of the white man's alleged racial superiority and to condemn the aberrations committed in his name.","The position taken by UNESCO, from 1948 onwards, was motivated by recent events, among which the",Japanese attack on the American military base at Pearl Harbor.,triggering of the Cold War and new rivalries between nations.,death of millions of soldiers in the fighting of the Second World War.,execution of Jews and Slavs imprisoned in Nazi ghettos and concentration camps.,dropping of atomic bombs on Hiroshima and Nagasaki by US forces.,concrete,0.527917465166208,D,62,2,31.0
2017_CH_68,2017,azul,68,CH,"By destroying a landscape of trees with twisted trunks, leaves and rough shrubs on acidic soils, often laterized or taken on by the bizarre shapes of termite mounds, this modernization linearizes and apparently does not allow us to question the modernist pretension that the form must follow the function.",The described process occurs in a biogeographic area with a predominance of vegetation,tropophilic and tropical climate.,xerophilic and semi-arid climate.,hydrophilic and equatorial climate.,aciculifoliate and subtropical climate.,semi-deciduous and humid tropical climate.,concrete,0.2069303968327291,A,49,1,49.0
2017_CH_69,2017,azul,69,CH,"The installation of a refinery follows several technical factors. One of the most important is the location, which must be close to both consumption centers and production areas. Petrobras has refineries strategically distributed across the country. They are responsible for processing millions of barrels of oil per day, supplying the market with derivatives that can be obtained from national or imported oil.","The territorialization of a production unit depends on several locational factors. From reading the text, the determining factor for the installation of oil refineries is the proximity to",headquarters of petrochemical companies.,derivative import zones,technological development hubs.,areas of labor agglomerations.,spaces with circulation infrastructure.,concrete,0.283977091362474,E,62,4,15.5
2017_CH_75,2017,azul,75,CH,"Palestinians gathered in front of television sets and screens set up outdoors in Ramallah, in the West Bank, to follow the vote on the resolution that called for the recognition of the so-called Palestine as an non-member observer state of the United Nations (UN). The objective was to wait for the birth, at least formally, of a Palestinian State. After the approval of the resolution, hundreds of people went to the city square with Palestinian flags, set off fireworks, honked horns and danced in the streets. Approved with 138 votes out of 193 in the General Assembly, the resolution elevates the status of the Palestinian State before the organization.",The aforementioned UN resolution endorsed the,institutional delimitation of territorial borders.,increasing the quality of life of the local population.,implementation of the peace treaty with the Israelis.,support from the international community to the national demand.,equalization of the political condition with that of other countries.,concrete,0.1964736904113095,D,109,4,27.25
2018_CH_77,2018,azul,77,CH,"The presumption that the surface of the Chapadas and Chapadões represents an old peneplain is corroborated by the fact that it is covered by surface accumulations, such as masses of sand, layers of gravel and pebbles, and the widespread occurrence of ferruginous concretions that form a lateritic crust, called “canga”.",Which climate type favors the soil change process described in the text?,"Arid, with water deficit.","Subtropical, with low temperatures.","Temperate, with cold and dry winters.","Tropical, with seasonality of rain.","Equatorial, with abundant rainfall.",concrete,0.2103828048416349,D,50,1,50.0
2018_LC_44,2018,azul,44,LC,"Plagiarism Sniffer: a tool against illegal copying. In the academic world or in the media, illegal copies can appear in different ways, being full or partial, or paraphrases. To help combat this crime, professor Maximiliano Zambonatto Pezzin, a computer engineer, developed the Plagiarism Sniffer program with his students. The program is capable of detecting: continuous and fragmented passages, loose sentences, reorganized parts of texts, rewritten sentences, changes in the order of periods and phonetic and syntactic errors. But how does the program actually work? Considering the text as a sequence of words, the tool analyzes and searches section by section in search engines, just as a teacher suspicious of a student would do. The difference is that the program allows you to search in several search engines, thus generating many more results.","According to the text, the Plagiarism Sniffer tool achieves its objective through",selection of full copies.,search on specialized websites.,simulation of teaching activity.,comparison of structural patterns.,phoneme sequence identification.,concrete,0.2951478999067735,D,132,7,18.86
2019_CH_56,2019,azul,56,CH,"The global restructuring of the industry, conditioned by the global value chain management strategies of large transnational groups, promoted a strong shift in the production process, even entire industrial plants, and redirected production and investment flows. However, the increase in the participation of developing countries in the global product occurred quite asymmetrically when comparing the dynamism of East Asian countries with that of other countries, especially Latin Americans, in the period 1980-2000.",The dynamics of transformation of the geography of industries described expose the complementarity between spatial dispersion and,technological autonomy.,supply crises.,political decentralization.,economic concentration.,profit sharing.,abstract,0.3926106536218327,D,72,2,36.0
2019_CH_64,2019,azul,64,CH,"Legend has it that on a beautiful sunny day, Newton was relaxing under an apple tree. Birds chirped in his ears. There was a gentle breeze. He dozed for a few minutes. Suddenly, an apple fell on his head and he woke up with a start. He looked up. “Surely a bird or a squirrel knocked the apple from the tree,” he guessed. But there were no birds or tree squirrels nearby. He then thought: “Just a few minutes ago, the apple was hanging on the tree. No external force made her fall. There must be some underlying force that causes things to fall to the earth.”","In contrast to an idealized interpretation, the text points to the following fundamental dimension of modern science:",Falsification of theses.,Denial of observation.,Proposing hypotheses.,Contemplation of nature.,Universalization of conclusions.,abstract,0.604244682645566,C,107,11,9.73
2019_CH_65,2019,azul,65,CH,"For Machiavelli, when a man decides to tell the truth at the risk of his own physical integrity, such a decision concerns only his person. But if that same man is a head of state, personal criteria are no longer adequate to decide on actions whose consequences become so broad, since the damage will not only be individual, but collective. In this case, depending on the circumstances and the ends to be achieved, it can be decided that the best thing for the common good is to lie.",The text points to an innovation in political theory in the modern era defined by the distinction between:,ideality and effectiveness of morality.,nullity and preservation of freedom.,illegality and legitimacy of the ruler.,verifiability and possibility of truth.,objectivity and subjectivity of knowledge.,abstract,0.3433019991514724,A,88,3,29.33
2020_CH_56,2020,azul,56,CH,"Global demand for food production is progressively increasing at very high rates. Currently, in most countries, continents and regions, water consumed in agriculture is around 70% of total availability.","In order to reduce pressure on the aforementioned natural resource, the expansion of agriculture demands improvements in the",chemical soil fertilization.,water runoff from the land.,maintenance of artesian wells.,efficiency of irrigation techniques.,speed of harvesting machines.,concrete,0.4830001778034939,D,29,2,14.5
